//https://jsfiddle.net/9tnjL7om/ 動作でも
//https://imgur.com/a/uE6X5IA
Africa/Abidjan	アフリカ/アビジャン
Africa/Accra	アフリカ/アクラ
Africa/Addis_Ababa	アフリカ/アディスアベバ
Africa/Algiers	アフリカ/アルジェ
Africa/Asmara	アフリカ/アスマラ
Africa/Asmera	アフリカ/アスメラ
Africa/Bamako	アフリカ/バマコ
Africa/Bangui	アフリカ/バンギ
Africa/Banjul	アフリカ/バンジュル
Africa/Bissau	アフリカ/ビサウ
Africa/Blantyre	アフリカ/ブランタイア
Africa/Brazzaville	アフリカ/ブラザビル
Africa/Bujumbura	アフリカ/ブジュンブラ
Africa/Cairo	アフリカ/カイロ
Africa/Casablanca	アフリカ/カサブランカ
Africa/Ceuta	アフリカ/セウタ
Africa/Conakry	アフリカ/コナクリ
Africa/Dakar	アフリカ/ダカール
Africa/Dar_es_Salaam	アフリカ/ダルエスサラーム
Africa/Djibouti	アフリカ/ジブチ
Africa/Douala	アフリカ/ドゥアラ
Africa/El_Aaiun	アフリカ/エルアイウン
Africa/Freetown	アフリカ/フリータウン
Africa/Gaborone	アフリカ/ガボローネ
Africa/Harare	アフリカ/ハラレ
Africa/Johannesburg	アフリカ/ヨハネスブルグ
Africa/Juba	アフリカ/ジュバ
Africa/Kampala	アフリカ/カンパラ
Africa/Khartoum	アフリカ/ハルツーム
Africa/Kigali	アフリカ/キガリ
Africa/Kinshasa	アフリカ/キンシャサ
Africa/Lagos	アフリカ/ラゴス
Africa/Libreville	アフリカ/リーブルビル
Africa/Lome	アフリカ/ロメ
Africa/Luanda	アフリカ/ルアンダ
Africa/Lubumbashi	アフリカ/ルブンバシ
Africa/Lusaka	アフリカ/ルサカ
Africa/Malabo	アフリカ/マラボ
Africa/Maputo	アフリカ/マプト
Africa/Maseru	アフリカ/マセル
Africa/Mbabane	アフリカ/ムババネ
Africa/Mogadishu	アフリカ/モガディシュ
Africa/Monrovia	アフリカ/モンロビア
Africa/Nairobi	アフリカ/ナイロビ
Africa/Ndjamena	アフリカ/ンジャメナ
Africa/Niamey	アフリカ/ニアメ
Africa/Nouakchott	アフリカ/ヌアクショット
Africa/Ouagadougou	アフリカ/ワガドゥグ
Africa/Porto-Novo	アフリカ/ポルトノボ
Africa/Sao_Tome	アフリカ/サントメ
Africa/Timbuktu	アフリカ/ティンブクトゥ
Africa/Tripoli	アフリカ/トリポリ
Africa/Tunis	アフリカ/チュニス
Africa/Windhoek	アフリカ/ウィントフック
America/Adak	アメリカ/アダック
America/Anchorage	アメリカ/アンカレッジ
America/Anguilla	アメリカ/アンギラ
America/Antigua	アメリカ/アンティグア
America/Araguaina	アメリカ/アラグアイナ
America/Argentina/Buenos_Aires	アメリカ/アルゼンチン/ブエノスアイレス
America/Argentina/Catamarca	アメリカ/アルゼンチン/カタマルカ
America/Argentina/ComodRivadavia	アメリカ/アルゼンチン/コモドリバダビア
America/Argentina/Cordoba	アメリカ/アルゼンチン/コルドバ
America/Argentina/Jujuy	アメリカ/アルゼンチン/フフイ
America/Argentina/La_Rioja	アメリカ/アルゼンチン/ラリオハ
America/Argentina/Mendoza	アメリカ/アルゼンチン/メンドーサ
America/Argentina/Rio_Gallegos	アメリカ/アルゼンチン/リオガレゴス
America/Argentina/Salta	アメリカ/アルゼンチン/サルタ
America/Argentina/San_Juan	アメリカ/アルゼンチン/サンファン
America/Argentina/San_Luis	アメリカ/アルゼンチン/サンルイス
America/Argentina/Tucuman	アメリカ/アルゼンチン/トゥクマン
America/Argentina/Ushuaia	アメリカ/アルゼンチン/ウシュアイア
America/Aruba	アメリカ/アルバ
America/Asuncion	アメリカ/アスンシオン
America/Atikokan	アメリカ/アティコカン
America/Atka	アメリカ/アトカ
America/Bahia	アメリカ/バイア
America/Bahia_Banderas	アメリカ/バイア_バンデラス
America/Barbados	アメリカ/バルバドス
America/Belem	アメリカ/ベレン
America/Belize	アメリカ/ベリーズ
America/Blanc-Sablon	アメリカ/ブランサブロン
America/Boa_Vista	アメリカ/ボアビスタ
America/Bogota	アメリカ/ボゴタ
America/Boise	アメリカ/ボイジー
America/Buenos_Aires	アメリカ/ブエノスアイレス
America/Cambridge_Bay	アメリカ/ケンブリッジ湾
America/Campo_Grande	アメリカ/カンポグランデ
America/Cancun	アメリカ/カンクン
America/Caracas	アメリカ/カラカス
America/Catamarca	アメリカ/カタマルカ
America/Cayenne	アメリカ/カイエン
America/Cayman	アメリカ/ケイマン
America/Chicago	アメリカ/シカゴ
America/Chihuahua	アメリカ/チワワ
America/Coral_Harbour	アメリカ/コーラルハーバー
America/Cordoba	アメリカ/コルドバ
America/Costa_Rica	アメリカ/コスタリカ
America/Creston	アメリカ/クレストン
America/Cuiaba	アメリカ/キアバ
America/Curacao	アメリカ/クラカオ
America/Danmarkshavn	アメリカ/デンマークシャウン
America/Dawson	アメリカ/ドーソン
America/Dawson_Creek	アメリカ/ドーソンクリーク
America/Denver	アメリカ/デンバー
America/Detroit	アメリカ/デトロイト
America/Dominica	アメリカ/ドミニカ
America/Edmonton	アメリカ/エドモントン
America/Eirunepe	アメリカ/エイルネペ
America/El_Salvador	アメリカ/エルサルバドル
America/Ensenada	アメリカ/エンセナダ
America/Fort_Nelson	アメリカ/フォートネルソン
America/Fort_Wayne	アメリカ/フォートウェイン
America/Fortaleza	アメリカ/フォルタレザ
America/Glace_Bay	アメリカ/グレイスベイ
America/Godthab	アメリカ/ゴッドタブ
America/Goose_Bay	アメリカ/グースベイ
America/Grand_Turk	アメリカ/グランドターク
America/Grenada	アメリカ/グレナダ
America/Guadeloupe	アメリカ/グアドループ
America/Guatemala	アメリカ/グアテマラ
America/Guayaquil	アメリカ/グアヤキル
America/Guyana	アメリカ/ガイアナ
America/Halifax	アメリカ/ハリファックス
America/Havana	アメリカ/ハバナ
America/Hermosillo	アメリカ/エルモシヨ
America/Indiana/Indianapolis	アメリカ/インディアナ/インディアナポリス
America/Indiana/Knox	アメリカ/インディアナ/ノックス
America/Indiana/Marengo	アメリカ/インディアナ/マレンゴ
America/Indiana/Petersburg	アメリカ/インディアナ/ピーターズバーグ
America/Indiana/Tell_City	アメリカ/インディアナ/テルシティ
America/Indiana/Vevay	アメリカ/インディアナ/ビベイ
America/Indiana/Vincennes	アメリカ/インディアナ/ヴァンセンヌ
America/Indiana/Winamac	アメリカ/インディアナ/ウィナマク
America/Indianapolis	アメリカ/インディアナポリス
America/Inuvik	アメリカ/イヌビク
America/Iqaluit	アメリカ/イカルイト
America/Jamaica	アメリカ/ジャマイカ
America/Jujuy	アメリカ/フフイ
America/Juneau	アメリカ/ジュノー
America/Kentucky/Louisville	アメリカ/ケンタッキー/ルイビル
America/Kentucky/Monticello	アメリカ/ケンタッキー/モンティセロ
America/Knox_IN	アメリカ/ノックスイン
America/Kralendijk	アメリカ/クラレンダイク
America/La_Paz	アメリカ/ラパス
America/Lima	アメリカ/リマ
America/Los_Angeles	アメリカ/ロサンゼルス
America/Louisville	アメリカ/ルイビル
America/Lower_Princes	アメリカ/ローワープリンセス
America/Maceio	アメリカ/マセイオ
America/Managua	アメリカ/マナグア
America/Manaus	アメリカ/マナウス
America/Marigot	アメリカ/マリゴ
America/Martinique	アメリカ/マルティニーク
America/Matamoros	アメリカ/マタモロス
America/Mazatlan	アメリカ/マサトラン
America/Mendoza	アメリカ/メンドーサ
America/Menominee	アメリカ/メノミニー
America/Merida	アメリカ/メリダ
America/Metlakatla	アメリカ/メトラカトラ
America/Mexico_City	アメリカ/メキシコシティ
America/Miquelon	アメリカ/ミクロン
America/Moncton	アメリカ/モンクトン
America/Monterrey	アメリカ/モンテレー
America/Montevideo	アメリカ/モンテビデオ
America/Montreal	アメリカ/モントリオール
America/Montserrat	アメリカ/モンセラート
America/Nassau	アメリカ/ナッソー
America/New_York	アメリカ/ニューヨーク
America/Nipigon	アメリカ/ニピゴン
America/Nome	アメリカ/ノーメ
America/Noronha	アメリカ/ノローニャ
America/North_Dakota/Beulah	アメリカ/ノースダコタ/ベウラ
America/North_Dakota/Center	アメリカ/ノースダコタ/センター
America/North_Dakota/New_Salem	アメリカ/ノースダコタ/ニューセーラム
America/Ojinaga	アメリカ/オジナガ
America/Panama	アメリカ/パナマ
America/Pangnirtung	アメリカ/パンナータング
America/Paramaribo	アメリカ/パラマリボ
America/Phoenix	アメリカ/フェニックス
America/Port-au-Prince	アメリカ/ポルトープランス
America/Port_of_Spain	アメリカ/ポートオブスペイン
America/Porto_Acre	アメリカ/ポルトエーカー
America/Porto_Velho	アメリカ/ポルトヴェーリョ
America/Puerto_Rico	アメリカ/プエルトリコ
America/Punta_Arenas	アメリカ/プンタアリーナ
America/Rainy_River	アメリカ/レイニーリバー
America/Rankin_Inlet	アメリカ/ランキンインレット
America/Recife	アメリカ/レシフェ
America/Regina	アメリカ/レジーナ
America/Resolute	アメリカ/レゾリュート
America/Rio_Branco	アメリカ/リオブランコ
America/Rosario	アメリカ/ロザリオ
America/Santa_Isabel	アメリカ/サンタイザベル
America/Santarem	アメリカ/サンタレン
America/Santiago	アメリカ/サンティアゴ
America/Santo_Domingo	アメリカ/サントドミンゴ
America/Sao_Paulo	アメリカ/サンパウロ
America/Scoresbysund	アメリカ/スコアビズンド
America/Shiprock	アメリカ/シップロック
America/Sitka	アメリカ/シトカ
America/St_Barthelemy	アメリカ/セントバーセレミー
America/St_Johns	アメリカ/セントジョンズ
America/St_Kitts	アメリカ/セントキッツ
America/St_Lucia	アメリカ/セントルシア
America/St_Thomas	アメリカ/セントトーマス
America/St_Vincent	アメリカ/セントビンセント
America/Swift_Current	アメリカ/スイフトカレント
America/Tegucigalpa	アメリカ/テグシガルパ
America/Thule	アメリカ/チューレ
America/Thunder_Bay	アメリカ/サンダーベイ
America/Tijuana	アメリカ/ティファナ
America/Toronto	アメリカ/トロント
America/Tortola	アメリカ/トルトラ
America/Vancouver	アメリカ/バンクーバー
America/Virgin	アメリカ/バージン
America/Whitehorse	アメリカ/ホワイトホース
America/Winnipeg	アメリカ/ウィニペグ
America/Yakutat	アメリカ/ヤクタット
America/Yellowknife	アメリカ/イエローナイフ
Antarctica/Casey	南極大陸/ケーシー
Antarctica/Davis	南極/デービス
Antarctica/DumontDUrville	南極大陸/デュモンデュルビル
Antarctica/Macquarie	南極/マッコーリー
Antarctica/Mawson	南極/モーソン
Antarctica/McMurdo	南極/マクマード
Antarctica/Palmer	南極/パーマー
Antarctica/Rothera	南極/ロセラ
Antarctica/South_Pole	南極大陸/南極
Antarctica/Syowa	南極・昭和
Antarctica/Troll	南極大陸/トロール
Antarctica/Vostok	南極大陸/ボストーク
Arctic/Longyearbyen	北極/ロングヤービーエン
Asia/Aden	アジア/アデン
Asia/Almaty	アジア/アルマトイ
Asia/Amman	アジア/アンマン
Asia/Anadyr	アジア/アナディリ
Asia/Aqtau	アジア/アクタウ
Asia/Aqtobe	アジア/アクトベ
Asia/Ashgabat	アジア/アシガバート
Asia/Ashkhabad	アジア/アシュハバード
Asia/Atyrau	アジア/アティラウ
Asia/Baghdad	アジア/バグダッド
Asia/Bahrain	アジア/バーレーン
Asia/Baku	アジア/バクー
Asia/Bangkok	アジア/バンコク
Asia/Barnaul	アジア/バルナウル
Asia/Beirut	アジア/ベイルート
Asia/Bishkek	アジア/ビシュケク
Asia/Brunei	アジア/ブルネイ
Asia/Calcutta	アジア/カルカッタ
Asia/Chita	アジア/チタ
Asia/Choibalsan	アジア/チョイバルサン
Asia/Chongqing	アジア/重慶
Asia/Chungking	アジア/重慶
Asia/Colombo	アジア/コロンボ
Asia/Dacca	アジア/ダッカ
Asia/Damascus	アジア/ダマスカス
Asia/Dhaka	アジア/ダッカ
Asia/Dili	アジア/ディリ
Asia/Dubai	アジア/ドバイ
Asia/Dushanbe	アジア/ドゥシャンベ
Asia/Famagusta	アジア/ファマグスタ
Asia/Gaza	アジア/ガザ
Asia/Harbin	アジア/ハルビン
Asia/Hebron	アジア/ヘブロン
Asia/Ho_Chi_Minh	アジア/ホーチミン
Asia/Hong_Kong	アジア/香港
Asia/Hovd	アジア/ホブド
Asia/Irkutsk	アジア/イルクーツク
Asia/Istanbul	アジア/イスタンブール
Asia/Jakarta	アジア/ジャカルタ
Asia/Jayapura	アジア/ジャヤプラ
Asia/Jerusalem	アジア/エルサレム
Asia/Kabul	アジア/カブール
Asia/Kamchatka	アジア/カムチャッカ
Asia/Karachi	アジア/カラチ
Asia/Kashgar	アジア/カシュガル
Asia/Kathmandu	アジア/カトマンズ
Asia/Katmandu	アジア/カトマンズ
Asia/Khandyga	アジア/カンディガ
Asia/Kolkata	アジア/コルカタ
Asia/Krasnoyarsk	アジア/クラスノヤルスク
Asia/Kuala_Lumpur	アジア/クアラルンプール
Asia/Kuching	アジア/クチン
Asia/Kuwait	アジア/クウェート
Asia/Macao	アジア/マカオ
Asia/Macau	アジア/マカオ
Asia/Magadan	アジア/マガダン
Asia/Makassar	アジア/マカッサル
Asia/Manila	アジア/マニラ
Asia/Muscat	アジア/マスカット
Asia/Nicosia	アジア/ニコシア
Asia/Novokuznetsk	アジア/ノボクズネツク
Asia/Novosibirsk	アジア/ノボシビルスク
Asia/Omsk	アジア/オムスク
Asia/Oral	アジア/オーラル
Asia/Phnom_Penh	アジア/プノンペン
Asia/Pontianak	アジア/ポンティアナック
Asia/Pyongyang	アジア/平壌
Asia/Qatar	アジア/カタール
Asia/Qostanay	アジア/コスタナイ
Asia/Qyzylorda	アジア/クズロルダ
Asia/Rangoon	アジア/ラングーン
Asia/Riyadh	アジア/リヤド
Asia/Saigon	アジア/サイゴン
Asia/Sakhalin	アジア/サハリン
Asia/Samarkand	アジア/サマルカンド
Asia/Seoul	アジア/ソウル
Asia/Shanghai	アジア/上海
Asia/Singapore	アジア/シンガポール
Asia/Srednekolymsk	アジア/スレドネコリムスク
Asia/Taipei	アジア/台北
Asia/Tashkent	アジア/タシケント
Asia/Tbilisi	アジア/トビリシ
Asia/Tehran	アジア/テヘラン
Asia/Tel_Aviv	アジア/テルアビブ
Asia/Thimbu	アジア/ティンブ
Asia/Thimphu	アジア/ティンプー
Asia/Tokyo	アジア/東京
Asia/Tomsk	アジア/トムスク
Asia/Ujung_Pandang	アジア/ウジュン_パンダン
Asia/Ulaanbaatar	アジア/ウランバートル
Asia/Ulan_Bator	アジア/ウランバートル
Asia/Urumqi	アジア/ウルムチ
Asia/Ust-Nera	アジア/ウスチ＝ネラ
Asia/Vientiane	アジア/ビエンチャン
Asia/Vladivostok	アジア/ウラジオストク
Asia/Yakutsk	アジア/ヤクーツク
Asia/Yangon	アジア/ヤンゴン
Asia/Yekaterinburg	アジア/エカテリンブルク
Asia/Yerevan	アジア/エレバン
Atlantic/Azores	大西洋/アゾレス
Atlantic/Bermuda	大西洋/バミューダ
Atlantic/Canary	大西洋/カナリア
Atlantic/Cape_Verde	大西洋/ケープベルデ
Atlantic/Faeroe	大西洋/フェロー
Atlantic/Faroe	大西洋/フェロー
Atlantic/Jan_Mayen	大西洋/ヤンマイエン
Atlantic/Madeira	大西洋/マデイラ
Atlantic/Reykjavik	大西洋/レイキャビク
Atlantic/South_Georgia	大西洋/サウスジョージア
Atlantic/St_Helena	大西洋/セントヘレナ
Atlantic/Stanley	大西洋/スタンレー
Australia/ACT	オーストラリア/オーストラリア首都特別地域
Australia/Adelaide	オーストラリア/アデレード
Australia/Brisbane	オーストラリア/ブリスベン
Australia/Broken_Hill	オーストラリア/ブロークンヒル
Australia/Canberra	オーストラリア/キャンベラ
Australia/Currie	オーストラリア/カリー
Australia/Darwin	オーストラリア/ダーウィン
Australia/Eucla	オーストラリア/ユークラ
Australia/Hobart	オーストラリア/ホバート
Australia/LHI	オーストラリア/ロードハウ島
